StoreID,StoreName,Orders,NetRevenue,AverageOrderValue,OnTimeRate
4,FreshRoute Oakville 1,165,9469.032307685522,55.85892727272727,0.10975609756097561
12,FreshRoute Mississauga 3,151,9293.290025744693,59.905056291390736,0.24503311258278146
8,FreshRoute Brampton 2,149,8767.928893220816,57.27718791946308,0.20945945945945946
18,FreshRoute Brampton 4,160,8030.527286821427,48.853425,0.2138364779874214
9,FreshRoute Oakville 2,163,7955.924952943494,47.508794478527605,0.1656441717791411
3,FreshRoute Brampton 1,142,7938.864874650453,54.417802816901414,0.24647887323943662
14,FreshRoute Oakville 3,158,7856.103127216569,48.39728797468354,0.12025316455696203
20,FreshRoute Hamilton 4,151,7474.612016907228,48.18175827814569,0.36423841059602646
13,FreshRoute Brampton 3,144,7408.114132013948,50.07444097222222,0.1875
15,FreshRoute Hamilton 3,123,6973.804123438209,55.18684552845529,0.45454545454545453
19,FreshRoute Oakville 4,169,6914.387421865804,39.823363905325444,0.10650887573964497
24,FreshRoute Oakville 5,148,6544.414214524953,43.04076689189189,0.1360544217687075
2,FreshRoute Mississauga 1,124,6481.586113719039,50.87806048387097,0.22580645161290322
11,FreshRoute Toronto 3,136,6472.661819353166,46.32494852941176,0.35294117647058826
7,FreshRoute Mississauga 2,140,6277.496496241092,43.644485714285715,0.2785714285714286
6,FreshRoute Toronto 2,135,6249.345389360384,45.05797777777778,0.34814814814814815
5,FreshRoute Hamilton 1,114,6195.927531373119,52.90203947368421,0.4649122807017544
22,FreshRoute Mississauga 5,138,6174.96085901731,43.55380072463768,0.30434782608695654
23,FreshRoute Brampton 5,139,6107.778742264515,42.77001798561151,0.2446043165467626
1,FreshRoute Toronto 1,130,5986.299334383698,44.82146153846154,0.36153846153846153
10,FreshRoute Hamilton 2,135,5882.988542598348,42.416533333333334,0.4666666666666667
25,FreshRoute Hamilton 5,118,5802.615956109361,47.86441525423729,0.3644067796610169
21,FreshRoute Toronto 5,128,5746.726233476463,43.70000390625,0.3464566929133858
16,FreshRoute Toronto 4,141,5545.962743093378,38.28501063829787,0.3546099290780142
17,FreshRoute Mississauga 4,139,5284.386861977001,37.00417625899281,0.33093525179856115
